x,y,yaw,v
4.314347,-0.137305,-0.020484,2.027525
4.33462,-0.137626,-0.019621,2.027642
4.354895,-0.137914,-0.018586,2.027753
4.354895,-0.137914,-0.018586,2.027753
4.375171,-0.138195,-0.017723,2.02786
4.395449,-0.138445,-0.016688,2.028022
4.415728,-0.138688,-0.015825,2.028176
4.43601,-0.138898,-0.01479,2.028323
4.456292,-0.139129,-0.014219,2.028463
4.456292,-0.139129,-0.014219,2.028463
4.476575,-0.139419,-0.014411,2.028596
4.476575,-0.139419,-0.014411,2.028596
4.49686,-0.139735,-0.014778,2.028723
4.517144,-0.140096,-0.015518,2.028844
4.517144,-0.140096,-0.015518,2.028844
4.53742,-0.140472,-0.016207,2.026989
4.53742,-0.140472,-0.016207,2.026989
4.557678,-0.140888,-0.01714,2.025486
4.577922,-0.141313,-0.017942,2.02427
4.577922,-0.141313,-0.017942,2.02427
4.598155,-0.141774,-0.018941,2.023284
4.598155,-0.141774,-0.018941,2.023284
4.618378,-0.142244,-0.019781,2.022486
4.638594,-0.142747,-0.020802,2.02184
4.638594,-0.142747,-0.020802,2.02184
4.658803,-0.143258,-0.021655,2.021317
4.658803,-0.143258,-0.021655,2.021317
4.679007,-0.143802,-0.022684,2.020893
4.699206,-0.144353,-0.023541,2.02055
4.699206,-0.144353,-0.023541,2.02055
4.699206,-0.144353,-0.023541,2.02055
4.719402,-0.144937,-0.024572,2.020272
4.719402,-0.144937,-0.024572,2.020272
4.739595,-0.145527,-0.025431,2.020047
4.759788,-0.14615,-0.026463,2.020403
4.759788,-0.14615,-0.026463,2.020403
4.779984,-0.146779,-0.027322,2.020742
4.779984,-0.146779,-0.027322,2.020742
4.779984,-0.146779,-0.027322,2.020742
4.800182,-0.147441,-0.028353,2.021065
4.800182,-0.147441,-0.028353,2.021065
4.820383,-0.148109,-0.029213,2.021372
4.820383,-0.148109,-0.029213,2.021372
4.820383,-0.148109,-0.029213,2.021372
4.840586,-0.148809,-0.030245,2.021665
4.860792,-0.149516,-0.031105,2.021944
4.860792,-0.149516,-0.031105,2.021944
4.880999,-0.150255,-0.032137,2.022209
4.901208,-0.151,-0.032997,2.022462
4.901208,-0.151,-0.032997,2.022462
4.921419,-0.151778,-0.03403,2.022703
4.921419,-0.151778,-0.03403,2.022703
4.941633,-0.152561,-0.034891,2.022984
4.941633,-0.152561,-0.034891,2.022984
4.961847,-0.153377,-0.035923,2.023252
4.961847,-0.153377,-0.035923,2.023252
4.961847,-0.153377,-0.035923,2.023252
4.982064,-0.154199,-0.036784,2.023507
